name,address,non_smoking
YOU KNOW WHAT ユー ノット ホワット,東京都渋谷区上原１-30-1,全面禁煙
居酒屋 民屋 代々木上原,東京都渋谷区上原１-35-2上原銀座ビル2階,全面禁煙
串カツ田中 代々木上原店,東京都渋谷区上原１-35-3　第一上原堂ビル１Ｆ,全面禁煙
酒処小林 代々木上原,東京都渋谷区西原３-6-1,全面禁煙
やきとり家 すみれ 代々木上原店,東京都渋谷区西原３-2-4 フロンティア代々木上原1F,全面禁煙
Mokita,東京都渋谷区西原３-4-5 山田ビル1階101,全面禁煙
dish tokyogastronomycafe ディッシュトーキョーガストロノミーカフェ,東京都渋谷区上原１-33-16 オーツカビル 2F,全面禁煙
Lasebi ラセビ,東京都渋谷区西原３-17番4号　星と月と空とビル101,全面禁煙
ESOLA 代々木上原店,東京都渋谷区上原１-35-2 上原銀座ビル1F,全面禁煙
蕎麦　うえはら,東京都渋谷区西原３-8-5　アコルデ代々木上原A208,全面禁煙
手打ち蕎麦と和食 楽,東京都渋谷区西原３-2-4 フロンティア代々木上原3F,全面禁煙
ありき,東京都渋谷区西原３-17番4号 星と月と空とビル102,全面禁煙
焼肉 韓国料理 KollaBo 代々木上原店,東京都渋谷区西原３-8-5 アコルデ代々木上原２F,全面禁煙
Teppan-Food 璃珠,東京都渋谷区元代々木町２３－１１　パーク代々木上原１０２,全面禁煙
蒸籠味坊,東京都渋谷区西原３丁目８番５号　２階　A205号　アコルデ代々木上原,全面禁煙
青,東京都渋谷区西原３－２４－１２ ,一部禁煙
funicula フニクラ,東京都渋谷区西原３-1-1,全面禁煙
スワンレイクパブエド カフェドテテ 渋谷代々木上原店,東京都渋谷区大山町46-9,全面禁煙
串焼 とりや,東京都渋谷区西原３丁目23－9,全面禁煙
ラ ステッラ ポラーレ,東京都渋谷区上原２-47-16　J'sビル５階,全面禁煙
